Race ID,Overtakes,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
3,69.0,Azerbaijan,8,0,1,0,0,0.1,0.0,-0.1,0.1,-0.05,-0.05,0.1,0.15,-0.1,-0.1,-0.05,0.0,0.15,0.15,-0.75,-0.1,-0.85,-0.25,-0.2,-0.1
17,58.0,United States,2,0,0,0,0,0.4,-0.05,-0.05,0.1,-0.1,0.35,0.0,-0.15,-0.05,-0.3,0.3,0.3,-0.15,-0.15,-0.15,-0.1,-0.05,-0.15,0.0,0.0
5,42.0,Monaco,14,0,0,0,1,0.0,0.0,0.0,0.05,0.15,0.0,0.0,-0.2,0.05,0.05,0.2,0.0,0.3,-0.05,-0.3,0.2,0.05,-0.1,-0.1,-0.3
4,72.0,Spain,0,0,0,0,0,0.0,0.1,0.45,0.35,-0.15,-0.05,0.05,-0.1,0.2,0.0,0.4,0.15,-0.2,0.0,-0.4,0.1,-0.7,-0.05,-0.15,0.0
6,86.0,Canada,6,0,1,1,0,0.0,0.0,0.0,0.3,0.3,0.3,0.1,-0.1,0.35,0.2,-0.15,0.15,-0.3,0.25,-0.5,0.2,-0.2,-0.05,-0.75,-0.1
8,95.0,Austria,2,0,1,1,1,0.0,0.0,0.6,0.0,0.1,-0.15,0.2,-0.15,-0.15,-0.05,-0.05,0.25,0.25,-0.1,-0.05,-0.15,-0.85,-0.9,-0.15,-0.6
9,60.0,Great Britain,1,0,1,1,0,0.0,0.0,0.2,-0.05,0.05,0.45,0.1,0.0,-0.25,-0.25,0.15,0.4,-0.1,-0.1,0.1,0.0,0.05,-0.4,0.0,-0.35
11,76.0,Hungary,2,0,0,0,0,0.05,0.05,0.3,-0.15,-0.05,0.6,-0.05,0.15,-0.05,0.2,0.25,-0.25,0.0,-0.2,0.1,-0.55,0.1,0.1,-0.35,-0.25
12,82.0,Belgium,6,0,0,0,1,0.25,0.0,-0.1,-0.05,0.2,0.1,0.0,0.3,0.05,0.05,0.05,0.05,0.2,0.05,0.05,0.15,0.05,-0.9,-0.75,-0.75
24,106.0,Netherlands,5,1,2,1,1,0.0,0.15,0.45,0.15,0.05,0.35,-0.25,-0.2,-0.05,0.3,0.0,0.1,0.3,0.2,0.1,-0.8,-0.7,-0.15,-0.5,-0.5
